1559628555652,1559628559392,3740,LinkedList,1000000
1559628559398,1559628559412,14,HashMap,100000
1559628559412,1559628559424,12,HashMap,200000
1559628559424,1559628559434,10,HashMap,300000
1559628559434,1559628559447,13,HashMap,400000
1559628559447,1559628559457,10,HashMap,500000
1559628559457,1559628559464,7,HashMap,600000
1559628559464,1559628559472,8,HashMap,700000
1559628559472,1559628559488,16,HashMap,800000
1559628559488,1559628559513,25,HashMap,900000
1559628559514,1559628559590,76,HashMap,1000000
